,Laptop,ItexvsCypress,IS_BT_Acquisition,Grocery,thompson,Car,EnergySmall_A,Average
Boulware-Boulware,100.000%,99.833%,100.000%,98.167%,99.833%,100.000%,83.333%,97.310%
Boulware-Conceder,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%
Boulware-Linear,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%
Boulware-Atlas3,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%
Conceder-Conceder,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%
Conceder-Linear,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%
Conceder-Atlas3,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%
Linear-Linear,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%
Linear-Atlas3,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%
Atlas3-Atlas3,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%
Average,100.000%,99.983%,100.000%,99.817%,99.983%,100.000%,98.333%,99.731%
