,Coffee,Camera,Lunch,SmartPhone,Kitchen,Average
Boulware-Boulware,72.047,74.158,73.108,72.940,67.155,71.882
Boulware-Conceder,61.647,69.148,68.200,67.317,60.905,65.443
Boulware-Linear,66.095,70.030,69.095,68.005,61.695,66.984
Boulware-Atlas3,64.125,68.885,68.982,67.232,61.555,66.156
Conceder-Conceder,15.440,11.460,8.535,8.970,5.300,9.941
Conceder-Linear,31.900,38.345,33.980,33.970,21.395,31.918
Conceder-Atlas3,38.920,45.180,41.955,42.895,25.945,38.979
Linear-Linear,46.415,48.635,47.170,45.505,33.360,44.217
Linear-Atlas3,47.595,46.050,45.120,45.685,36.780,44.246
Atlas3-Atlas3,50.670,49.115,48.810,46.510,36.550,46.331
Average,49.485,52.101,50.496,49.903,41.064,48.610
